"claim_id","accident_date","transaction_date","payment_amount"
14930,2024-01-16,"01/04/2025",23735.08
15001,2024-08-09,"01/04/2025",2197.9
15573,2024-06-15,"01/04/2025",2666.34
236,2016-02-07,"01/05/2016",49862.49
1301,2016-02-28,"01/05/2016",588.16
2316,2017-03-11,"01/05/2017",20581.32
2972,2017-01-19,"01/05/2017",4152.97
3020,2017-02-21,"01/05/2017",0
3873,2018-01-25,"01/05/2018",226.29
4212,2018-06-08,"01/05/2019",687.23
5867,2019-03-05,"01/05/2019",1281.38
5718,2019-08-09,"01/05/2020",104.12
7841,2020-04-24,"01/05/2020",8562.44
11978,2022-08-30,"01/05/2023",92.88
12409,2023-01-22,"01/05/2023",2693.95
12990,2023-03-15,"01/05/2023",1249.5
15218,2024-12-05,"01/05/2025",19975.44
15765,2024-11-01,"01/05/2025",1564.15
884,2016-04-27,"01/06/2016",1043.74
1091,2016-08-10,"01/06/2017",3601.84
2206,2017-03-13,"01/06/2017",3412.28
5794,2019-03-12,"01/06/2019",117113.56
4942,2019-10-24,"01/06/2020",1089.61
7139,2020-03-12,"01/06/2020",501.86
7538,2020-04-10,"01/06/2020",863.91
8487,2021-04-09,"01/06/2022",6473.8
11459,2022-03-17,"01/06/2022",1167.83
11631,2022-11-21,"01/06/2023",1318.31
11705,2022-07-12,"01/06/2023",4670.51
13917,2023-02-26,"01/06/2023",3089.26
12654,2023-08-27,"01/06/2024",-534.46
15086,2024-01-03,"01/06/2024",19812.92
15101,2024-10-12,"01/06/2025",113217.43
15219,2024-11-23,"01/06/2025",145.83
16298,2024-12-15,"01/06/2025",2675.04
16558,2025-04-29,"01/06/2025",2987.44
18215,2025-02-01,"01/06/2025",3911.97
918,2016-04-07,"01/07/2016",28876.32
1188,2016-01-03,"01/07/2016",45213.53
7,2016-11-09,"01/07/2017",365.93
6118,2019-05-05,"01/07/2019",6355.87
5273,2019-09-02,"01/07/2020",3421.4
5374,2019-12-31,"01/07/2020",698.8
6700,2020-04-29,"01/07/2020",1438.95
7560,2020-04-21,"01/07/2020",32573.86
7997,2020-05-15,"01/07/2020",474.65
6683,2020-01-06,"01/07/2021",4541.52
9354,2021-04-12,"01/07/2021",604.38
10021,2021-09-05,"01/07/2022",164.86
11967,2022-03-01,"01/07/2022",5871.36
12039,2022-02-24,"01/07/2022",10198.88
15120,2024-03-18,"01/07/2024",28082.76
15596,2024-09-09,"01/07/2025",36594.19
16908,2025-04-30,"01/07/2025",7009.3
17623,2025-05-17,"01/07/2025",4890.91
113,2016-07-06,"01/08/2016",1834.58
2239,2017-06-27,"01/08/2017",207.19
2245,2017-06-07,"01/08/2017",0
2644,2017-02-14,"01/08/2017",869.17
3039,2017-03-24,"01/08/2017",785.23
2362,2017-08-11,"01/08/2018",6713.12
2396,2017-06-07,"01/08/2018",9765.54
4303,2018-12-28,"01/08/2019",2465.47
4528,2018-02-27,"01/08/2019",10924.65
4615,2018-06-17,"01/08/2019",976.2
5687,2019-05-03,"01/08/2019",1696.15
6322,2019-04-11,"01/08/2019",0
6858,2020-06-19,"01/08/2020",4187.68
8835,2021-07-10,"01/08/2021",4308.8
8912,2021-10-23,"01/08/2022",255678.27
9189,2021-12-24,"01/08/2022",2309.18
9226,2021-01-12,"01/08/2022",80.51
10966,2022-06-04,"01/08/2022",2716.56
11455,2022-06-17,"01/08/2023",463.59
15452,2024-04-18,"01/08/2024",12330.31
15536,2024-05-30,"01/08/2024",744.61
15777,2024-06-16,"01/08/2024",4709.91
15097,2024-12-13,"01/08/2025",1410.8
15633,2024-09-06,"01/08/2025",7166.43
16884,2025-02-01,"01/08/2025",345.71
17191,2025-06-21,"01/08/2025",3483.04
17684,2025-02-09,"01/08/2025",8534.24
18153,2025-05-14,"01/08/2025",212.03
631,2016-06-06,"01/09/2016",691.94
1186,2016-04-28,"01/09/2016",7.3
664,2016-09-23,"01/09/2017",330.45
1653,2017-05-15,"01/09/2017",1521.03
1939,2017-07-12,"01/09/2018",515.64
6556,2020-06-01,"01/09/2020",1968.28
7849,2020-04-26,"01/09/2020",3270.56
9727,2021-03-03,"01/09/2021",1535
10136,2021-04-26,"01/09/2021",43.73
8471,2021-11-28,"01/09/2022",19621.85
9181,2021-11-28,"01/09/2022",21795.72
10043,2021-10-18,"01/09/2022",1646.02
10765,2022-06-06,"01/09/2022",1529.94
11485,2022-04-02,"01/09/2022",23377.38
11539,2022-02-20,"01/09/2022",1511.46
11837,2022-03-26,"01/09/2022",51952.97
14253,2023-07-23,"01/09/2023",1679.94
13472,2023-08-10,"01/09/2024",1708.2
14821,2024-02-10,"01/09/2024",3249.61
16063,2024-03-27,"01/09/2024",753.91
16070,2024-04-29,"01/09/2024",1674.19
16091,2024-05-01,"01/09/2024",1639.2
15720,2024-01-01,"01/09/2025",862.43
16549,2025-07-28,"01/09/2025",4834.79
18451,2025-07-31,"01/09/2025",1355.7
759,2016-05-26,"01/10/2016",568.66
65,2016-12-04,"01/10/2017",1128.09
1716,2017-08-27,"01/10/2017",99594.41
2812,2017-07-31,"01/10/2017",7922.92
3717,2018-09-14,"01/10/2018",1512.28
4211,2018-07-18,"01/10/2018",42.62
4562,2018-03-13,"01/10/2018",1421.12
5200,2019-02-14,"01/10/2019",2158.38
7237,2020-03-04,"01/10/2020",4265.15
7883,2020-08-03,"01/10/2020",850.04
8456,2021-06-05,"01/10/2022",34330.06
11207,2022-07-13,"01/10/2022",745.97
12303,2023-07-18,"01/10/2023",16396.35
14382,2024-04-26,"01/10/2024",10075.91
15749,2024-07-04,"01/10/2024",-686.84
15148,2024-11-30,"01/10/2025",2285.15
16244,2024-11-12,"01/10/2025",290.64
183,2016-07-16,"01/11/2016",925.9
475,2016-08-24,"01/11/2016",433.51
1887,2017-10-01,"01/11/2017",1589.45
2799,2017-02-06,"01/11/2017",1662.13
2956,2017-03-28,"01/11/2018",1316.82
4493,2018-12-11,"01/11/2019",437.24
6336,2019-09-13,"01/11/2019",2612.46
6476,2020-09-04,"01/11/2020",5306.03
8512,2021-08-07,"01/11/2021",226.61
10186,2022-07-20,"01/11/2022",6089.89
10193,2022-08-12,"01/11/2022",12407.8
11185,2022-06-05,"01/11/2022",5563.63
11894,2022-05-11,"01/11/2022",69.44
12777,2023-10-04,"01/11/2023",129221.37
13032,2023-03-08,"01/11/2023",6225.4
15253,2024-02-02,"01/11/2024",5679.6
16076,2024-06-28,"01/11/2024",16137.25
13203,2023-09-09,"01/11/2025",683.44
13662,2023-08-30,"01/11/2025",1686.94
17708,2025-07-29,"01/11/2025",12701.48
17969,2025-06-27,"01/11/2025",1037.36
1246,2016-10-03,"01/12/2016",16733.27
1479,2016-12-24,"01/12/2017",141.58
2906,2017-03-19,"01/12/2017",272.2
3141,2018-04-16,"01/12/2018",3053.09
4056,2018-08-17,"01/12/2018",5173.68
4849,2019-10-04,"01/12/2019",552.36
6343,2019-01-21,"01/12/2019",0
4782,2019-05-14,"01/12/2020",0
6940,2020-08-17,"01/12/2020",8608.14
7355,2020-07-01,"01/12/2020",348.69
8491,2021-09-30,"01/12/2021",49117.81
8501,2021-11-30,"01/12/2022",3307.13
11549,2022-03-12,"01/12/2022",1271.7
11686,2022-07-16,"01/12/2022",9191.28
12481,2023-01-15,"01/12/2023",27.93
12797,2023-07-04,"01/12/2023",986.5
13081,2023-07-29,"01/12/2023",92152.09
14857,2024-08-12,"01/12/2024",1515.9
16084,2024-06-11,"01/12/2025",6091.93
18464,2025-11-18,"01/12/2025",92.52
590,2016-06-27,"02/01/2017",18850.19
641,2016-01-18,"02/01/2017",486.05
924,2016-08-31,"02/01/2017",2042.45
3475,2018-09-04,"02/01/2019",17520.29
3840,2018-05-05,"02/01/2019",3679.18
4320,2018-09-11,"02/01/2019",231.97
4674,2018-07-09,"02/01/2019",314.4
6290,2019-09-04,"02/01/2020",864.2
7958,2020-08-29,"02/01/2021",3542.9
6573,2020-11-10,"02/01/2022",1503.79
9705,2021-05-10,"02/01/2022",1131.54
10316,2022-02-02,"02/01/2023",936.73
10680,2022-05-19,"02/01/2023",1962.59
11943,2022-10-12,"02/01/2023",7505.59
12862,2023-12-25,"02/01/2024",10717.2
237,2016-12-27,"02/02/2018",3964.4
600,2016-11-19,"02/02/2018",289.45
2611,2017-10-07,"02/02/2018",2062.77
3008,2017-10-31,"02/02/2018",2733.48
3203,2018-08-13,"02/02/2019",18972.19
5463,2019-10-08,"02/02/2020",7186.28
6241,2019-11-01,"02/02/2020",9512.66
6561,2020-03-19,"02/02/2021",7575.45
6991,2020-09-12,"02/02/2021",5495.38
7122,2020-12-04,"02/02/2021",1461.85
8003,2020-07-25,"02/02/2021",306.45
8007,2020-11-23,"02/02/2021",1364.71
8898,2021-08-20,"02/02/2022",23662.21
9345,2021-12-15,"02/02/2022",4211.76
9435,2021-01-21,"02/02/2022",4525.45
11158,2022-01-06,"02/02/2022",146.84
10241,2022-02-26,"02/02/2023",254.31
11880,2022-11-07,"02/02/2023",8012.51
13744,2023-01-06,"02/02/2023",81299.2
13293,2023-10-19,"02/02/2024",902
13905,2023-06-12,"02/02/2024",303.79
13927,2023-07-01,"02/02/2024",393.55
14015,2023-03-17,"02/02/2024",2166.53
13266,2023-07-28,"02/02/2025",624.73
14230,2023-07-15,"02/02/2025",179.56
14579,2024-11-05,"02/02/2025",1617.71
15263,2024-02-28,"02/02/2025",28858.85
15279,2024-09-09,"02/02/2025",6828.79
15725,2024-10-14,"02/02/2025",491.15
16068,2024-12-08,"02/02/2025",30.83
205,2016-02-23,"02/03/2016",479.02
52,2016-03-22,"02/03/2017",197.22
374,2016-04-04,"02/03/2017",838.63
3067,2017-10-12,"02/03/2018",14664.46
3942,2018-05-02,"02/03/2019",671.85
5750,2019-07-24,"02/03/2020",19018.57
6139,2019-06-14,"02/03/2020",5531.02
5362,2019-04-27,"02/03/2021",6837.86
5573,2019-10-25,"02/03/2021",119.89
9819,2021-10-25,"02/03/2022",143.72
9997,2021-10-10,"02/03/2022",7337.82
12508,2023-01-25,"02/03/2023",9482.73
13850,2023-08-09,"02/03/2024",19411.07
14333,2023-01-09,"02/03/2024",3729.57
16257,2024-01-05,"02/03/2024",3587.61
586,2016-10-04,"02/04/2017",3845.55
4718,2018-02-06,"02/04/2018",2459.7
2056,2017-06-16,"02/04/2019",2383.55
2858,2017-10-29,"02/04/2019",876.87
6491,2020-03-16,"02/04/2020",1305.67
7451,2020-01-06,"02/04/2020",2163.95
8628,2021-11-16,"02/04/2022",264.83
8812,2021-10-17,"02/04/2022",6042.29
9062,2021-09-29,"02/04/2022",392.69
9204,2021-11-25,"02/04/2022",9208.89
9581,2021-10-16,"02/04/2022",714.37
10188,2022-03-02,"02/04/2022",0
11590,2022-02-25,"02/04/2022",2225.97
17925,2025-02-09,"02/04/2025",2300.41
1010,2016-01-11,"02/05/2016",53748.87
1297,2016-08-12,"02/05/2017",2858.09
1483,2016-02-18,"02/05/2017",483.85
2278,2017-12-16,"02/05/2018",6173.25
2560,2017-05-05,"02/05/2018",292.99
3602,2018-02-06,"02/05/2018",1246.46
4756,2018-02-26,"02/05/2018",1650.83
3883,2018-01-11,"02/05/2019",88.65
4872,2019-05-09,"02/05/2020",205.3
7510,2020-02-28,"02/05/2020",1846.64
8050,2020-10-07,"02/05/2021",86.63
9442,2021-01-31,"02/05/2021",5632.53
10151,2021-04-13,"02/05/2021",0
10209,2022-03-10,"02/05/2022",2908.63
10542,2022-02-02,"02/05/2022",121.18
10503,2022-08-20,"02/05/2023",273.24
11515,2022-11-13,"02/05/2023",864.08
12810,2023-04-20,"02/05/2023",869.86
14863,2024-07-15,"02/05/2025",5155.14
16121,2024-06-21,"02/05/2025",822
18290,2025-04-28,"02/05/2025",241466.59
1343,2016-10-12,"02/06/2017",-515.57
468,2016-10-27,"02/06/2018",3403.99
2126,2017-08-03,"02/06/2018",0
2332,2017-02-19,"02/06/2018",-648.29
2332,2017-02-19,"02/06/2018",6244.32
4583,2018-04-29,"02/06/2018",3531.84
4066,2018-11-09,"02/06/2019",93.99
4927,2019-03-03,"02/06/2019",2837.62
5030,2019-03-08,"02/06/2019",1510.71
5419,2019-12-09,"02/06/2020",0
5500,2019-01-07,"02/06/2020",992.32
6792,2020-02-09,"02/06/2020",21058.33
6457,2020-08-02,"02/06/2021",2375.09
6746,2020-02-27,"02/06/2021",646.95
8413,2021-04-16,"02/06/2021",88961.71
8428,2021-05-27,"02/06/2023",742.9
13819,2023-03-06,"02/06/2023",24.72
14360,2023-01-13,"02/06/2023",0
13389,2023-12-06,"02/06/2024",73.55
13408,2023-09-21,"02/06/2024",7461.17
14427,2024-04-14,"02/06/2024",67977.1
14465,2024-02-07,"02/06/2024",3230.93
16018,2024-04-25,"02/06/2024",91.31
16474,2024-12-26,"02/06/2025",6095.09
16589,2025-03-12,"02/06/2025",795.63
16979,2025-01-18,"02/06/2025",45.78
986,2016-12-19,"02/07/2017",570.5
2045,2017-01-09,"02/07/2017",15154.28
3278,2018-02-18,"02/07/2018",1889.56
3687,2018-04-01,"02/07/2018",1267.83
4747,2018-05-16,"02/07/2018",2225.67
4561,2018-12-14,"02/07/2019",1307.49
7299,2020-05-31,"02/07/2020",9083.08
7592,2020-03-29,"02/07/2020",8878.92
7610,2020-04-28,"02/07/2020",-384.43
6581,2020-09-20,"02/07/2021",0
6653,2020-10-07,"02/07/2021",204.52
6746,2020-02-27,"02/07/2021",1625.26
7292,2020-01-27,"02/07/2021",952.33
10296,2022-04-16,"02/07/2022",950.8
10479,2022-05-29,"02/07/2022",9720.16
12655,2023-04-12,"02/07/2023",-333.92
15540,2024-02-27,"02/07/2024",5984.63
15233,2024-06-20,"02/07/2025",185.05
1214,2016-03-03,"02/08/2016",253.06
894,2016-06-14,"02/08/2017",3327.58
1039,2016-03-31,"02/08/2017",750.84
1728,2017-04-12,"02/08/2017",3162.33
1737,2017-04-01,"02/08/2017",36.07
2349,2017-04-28,"02/08/2017",1702.11
2727,2017-01-03,"02/08/2017",538.96
2975,2017-03-12,"02/08/2017",16.6
2730,2017-12-22,"02/08/2018",20220.32
4101,2018-09-22,"02/08/2019",1687.4
5976,2019-04-05,"02/08/2019",1535.16
5407,2019-10-15,"02/08/2020",0
6055,2019-12-17,"02/08/2020",26214.87
6716,2020-02-11,"02/08/2020",1059.57
7586,2020-06-18,"02/08/2020",3784.92
7393,2020-07-11,"02/08/2021",2729.55
9521,2021-04-08,"02/08/2021",2650.44
8325,2021-10-21,"02/08/2022",7073.65
8706,2021-11-02,"02/08/2022",5210.41
10397,2022-05-07,"02/08/2022",1196.45
14056,2023-05-23,"02/08/2023",249.34
14126,2023-01-01,"02/08/2023",276.16
14997,2024-07-04,"02/08/2024",2805.58
15586,2024-06-16,"02/08/2024",333.31
16523,2024-06-07,"02/08/2024",18223.31
506,2016-03-15,"02/09/2016",291.06
2180,2017-01-09,"02/09/2017",10648.05
2575,2017-01-05,"02/09/2017",2496.66
4612,2018-02-14,"02/09/2018",3890.62
4634,2018-07-24,"02/09/2018",167.64
5248,2019-07-20,"02/09/2019",7205.6
5435,2019-05-29,"02/09/2019",718.19
6016,2019-04-28,"02/09/2019",92.55
5048,2019-02-22,"02/09/2020",0
5998,2019-11-22,"02/09/2020",117.21
6658,2020-03-31,"02/09/2020",381.36
8234,2020-06-04,"02/09/2020",5309.95
9118,2021-05-04,"02/09/2021",21371.12
8813,2021-12-28,"02/09/2022",471.38
8917,2021-11-26,"02/09/2022",5678.5
9533,2021-11-02,"02/09/2022",2183.32
10711,2022-03-30,"02/09/2022",0
10737,2022-03-05,"02/09/2022",72.65
11470,2022-01-08,"02/09/2022",1411.52
12181,2022-01-10,"02/09/2022",106.6
14358,2023-03-10,"02/09/2023",227.68
14573,2024-01-19,"02/09/2024",942.3
17185,2025-07-01,"02/09/2025",4096.34
18773,2025-07-17,"02/09/2025",375.35
1347,2016-08-16,"02/10/2016",4627.97
842,2016-03-14,"02/10/2017",130.62
1627,2017-08-24,"02/10/2018",2318.45
3392,2018-07-04,"02/10/2018",85.16
4411,2018-12-05,"02/10/2019",0
4532,2018-11-22,"02/10/2019",1665.41
4879,2019-07-06,"02/10/2019",2739.96
6100,2019-07-31,"02/10/2019",570.9
6100,2019-07-31,"02/10/2019",7166.71
6358,2019-07-21,"02/10/2019",947.95
7427,2020-02-18,"02/10/2020",361.99
9343,2021-09-13,"02/10/2021",22576.55
10184,2022-02-13,"02/10/2022",-511.08
10295,2022-01-16,"02/10/2022",12.99
11774,2022-06-26,"02/10/2022",11052.69
10421,2022-12-20,"02/10/2023",212.64
14235,2023-12-11,"02/10/2024",1003.98
15150,2024-06-05,"02/10/2024",345.81
13773,2023-02-05,"02/10/2025",538.03
16548,2025-05-27,"02/10/2025",5819.62
16604,2025-08-14,"02/10/2025",836.44
1043,2016-04-30,"02/11/2016",1743.78
1735,2017-10-29,"02/11/2018",11065.63
2863,2017-03-02,"02/11/2018",543.59
3279,2018-09-01,"02/11/2018",6805.7
3770,2018-05-25,"02/11/2018",11794.27
4236,2018-03-21,"02/11/2018",575.81
4264,2018-06-10,"02/11/2018",3817.6
5026,2019-05-09,"02/11/2019",1361.09
5033,2019-08-11,"02/11/2019",575.45
5844,2019-09-21,"02/11/2019",1194.46
6363,2019-01-19,"02/11/2020",1301.64
7270,2020-05-12,"02/11/2021",76.4
8551,2021-02-14,"02/11/2021",12460.56
8753,2021-03-05,"02/11/2021",1474.46
10569,2022-05-16,"02/11/2022",1774.92
14577,2024-10-01,"02/11/2024",3148.1
18299,2025-09-04,"02/11/2025",1037.94
18475,2025-08-07,"02/11/2025",313.9
669,2016-10-22,"02/12/2016",2983.53
1700,2017-10-03,"02/12/2017",10693.6
3102,2017-08-17,"02/12/2017",6460.38
3770,2018-05-25,"02/12/2018",236.69
3826,2018-04-21,"02/12/2018",1989.9
4342,2018-10-22,"02/12/2018",0
4627,2018-03-25,"02/12/2018",137.06
4683,2018-08-06,"02/12/2018",5414.86
5447,2019-08-03,"02/12/2019",5936.75
5938,2019-07-22,"02/12/2019",1004.01
7377,2020-11-09,"02/12/2020",86367.24
8939,2021-10-25,"02/12/2022",2225.85
10451,2022-04-30,"02/12/2022",-388.59
11319,2022-07-19,"02/12/2022",5086.11
11978,2022-08-30,"02/12/2022",60.96
12085,2022-05-31,"02/12/2022",39587.99
11744,2022-07-25,"02/12/2023",79.54
11868,2022-10-03,"02/12/2023",295.67
12040,2022-12-30,"02/12/2023",3631.75
12536,2023-06-06,"02/12/2023",210.07
13311,2023-09-28,"02/12/2023",5145.92
13348,2023-06-06,"02/12/2023",15085.89
14107,2023-11-19,"02/12/2024",6166.24
15411,2024-06-16,"02/12/2025",4151.81
17474,2025-06-16,"02/12/2025",5102.31
244,2016-10-18,"03/01/2017",9093.26
1156,2016-09-13,"03/01/2017",119.31
1159,2016-06-03,"03/01/2017",1328.96
1091,2016-08-10,"03/01/2018",2553.8
1625,2017-10-25,"03/01/2018",23514.96
2548,2017-10-17,"03/01/2018",6548.42
2699,2017-03-27,"03/01/2018",-430.48
3383,2018-03-23,"03/01/2019",20.67
4436,2018-09-19,"03/01/2019",149.42
5617,2019-12-09,"03/01/2020",4996.73
6212,2019-08-18,"03/01/2020",2023.95
6312,2019-09-19,"03/01/2020",497.48
7880,2020-07-23,"03/01/2021",4890.48
10075,2021-12-09,"03/01/2022",18042.41
11552,2022-05-18,"03/01/2023",5127
13822,2023-08-02,"03/01/2024",6897.1
13844,2023-01-30,"03/01/2024",0
12281,2023-07-13,"03/01/2025",998.79
12414,2023-12-18,"03/01/2025",22796.14
14605,2024-11-21,"03/01/2025",4474.47
14620,2024-09-14,"03/01/2025",22138.06
699,2016-08-06,"03/02/2017",133.74
1908,2017-08-31,"03/02/2018",6856.07
2399,2017-11-25,"03/02/2018",152.46
3577,2018-01-17,"03/02/2018",3810.39
4263,2018-12-23,"03/02/2020",315.2
5624,2019-05-11,"03/02/2020",14376.65
5674,2019-11-04,"03/02/2021",16460.82
7784,2020-03-15,"03/02/2021",34.11
7759,2020-11-21,"03/02/2022",985.11
9119,2021-09-08,"03/02/2022",482.88
9627,2021-07-17,"03/02/2022",-568.72
13059,2023-06-26,"03/02/2024",4522.32
14217,2023-04-09,"03/02/2024",1097.29
15232,2024-08-11,"03/02/2025",3344.48
16087,2024-10-26,"03/02/2025",2904.68
24,2016-09-01,"03/03/2017",1672.49
2002,2017-04-07,"03/03/2018",464.34
2659,2017-11-26,"03/03/2018",7952.98
3308,2018-01-02,"03/03/2018",468.89
4637,2018-12-05,"03/03/2019",1737.34
5304,2019-02-27,"03/03/2019",7432.5
7536,2020-07-11,"03/03/2021",174.33
7668,2020-04-24,"03/03/2021",13485.35
8064,2020-04-23,"03/03/2021",5051.3
8757,2021-06-01,"03/03/2022",1787.69
11276,2022-12-21,"03/03/2024",0
13795,2023-02-16,"03/03/2024",6895.64
14630,2024-01-15,"03/03/2024",0
16837,2025-01-02,"03/03/2025",862.79
1669,2017-01-17,"03/04/2017",0
2070,2017-12-08,"03/04/2018",2460.46
2188,2017-08-30,"03/04/2018",1968.94
2827,2017-08-14,"03/04/2018",2889.44
4345,2018-05-27,"03/04/2019",450.11
5640,2019-01-24,"03/04/2019",53.62
6218,2019-02-10,"03/04/2019",0
5427,2019-10-05,"03/04/2020",6759.91
6312,2019-09-19,"03/04/2020",2582.86
7449,2020-02-23,"03/04/2020",14993.84
7648,2020-08-18,"03/04/2021",233.54
9631,2021-09-04,"03/04/2022",2296.92
11229,2022-09-18,"03/04/2023",851.41
11575,2022-09-08,"03/04/2023",6936.48
11889,2022-12-31,"03/04/2023",29.11
11991,2022-06-09,"03/04/2023",49.92
12343,2023-02-28,"03/04/2023",5188.58
12787,2023-03-06,"03/04/2023",19254.9
13398,2023-03-08,"03/04/2024",-564.22
16316,2024-01-11,"03/04/2024",11023.37
1404,2016-01-19,"03/05/2017",281.34
588,2016-08-23,"03/05/2018",5340.65
3192,2018-01-16,"03/05/2019",319.42
3197,2018-12-11,"03/05/2019",6623.83
5159,2019-03-21,"03/05/2019",646.21
6371,2019-03-17,"03/05/2019",13497.25
5254,2019-07-23,"03/05/2020",21035.76
9145,2021-03-17,"03/05/2021",15903.2
9904,2021-10-28,"03/05/2022",0
10847,2022-04-01,"03/05/2022",23364.12
11742,2022-03-09,"03/05/2022",1236.84
12227,2022-12-05,"03/05/2023",2612.09
12318,2023-02-11,"03/05/2023",27667.65
13402,2023-04-12,"03/05/2023",526.34
14014,2023-07-03,"03/05/2024",0
15708,2024-02-25,"03/05/2024",0
17925,2025-02-09,"03/05/2025",2673.66
18653,2025-03-06,"03/05/2025",2709.86
477,2016-09-05,"03/06/2017",3718.41
4077,2018-05-15,"03/06/2018",9889.8
4245,2018-03-30,"03/06/2018",224.49
4853,2019-03-28,"03/06/2019",69082.92
5433,2019-01-05,"03/06/2019",1761.87
5406,2019-05-10,"03/06/2020",35382.64
6406,2019-10-22,"03/06/2021",113.53
9075,2021-04-16,"03/06/2021",11319.13
9570,2021-09-07,"03/06/2022",4036.58
11742,2022-03-09,"03/06/2022",1138.33
8304,2021-02-08,"03/06/2023",186.87
11197,2022-07-18,"03/06/2023",69.9
11247,2022-07-07,"03/06/2023",3269.18
13766,2023-04-20,"03/06/2024",4194.08
16106,2024-12-25,"03/06/2025",524.24
17836,2025-02-05,"03/06/2025",1647.77
18046,2025-04-28,"03/06/2025",5148.35
13,2016-05-15,"03/07/2016",263.02
954,2016-05-30,"03/07/2016",1491.79
544,2016-12-11,"03/07/2017",3677.5
2929,2017-06-17,"03/07/2017",137.53
3666,2018-02-12,"03/07/2018",3668.47
2541,2017-10-15,"03/07/2019",1863.15
2989,2017-08-20,"03/07/2019",608.07
4055,2018-06-07,"03/07/2019",3957.86
4702,2018-06-08,"03/07/2019",5526.77
5032,2019-04-02,"03/07/2019",22456.94
5927,2019-02-03,"03/07/2019",461.87
6128,2019-03-24,"03/07/2019",32835.35
3952,2018-05-12,"03/07/2020",8157.36
4764,2019-12-03,"03/07/2020",64.03
6451,2020-02-14,"03/07/2020",1172.61
